"","Biospecimen","Organ","Diagnosis","Assays","hasBoth"
"61","HTA6_1038_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"62","HTA6_1039_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"63","HTA6_1042_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"64","HTA6_1044_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"65","HTA6_1045_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"66","HTA6_1048_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"67","HTA6_1054_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk DNA, Bulk DNA",TRUE
"68","HTA6_1054_2","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
"69","HTA6_1057_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
"70","HTA6_1060_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"71","HTA6_1064_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
